stage,tokens,component,latency
(a) Prefill Latency,100K,Non-Attention,0.206804
(a) Prefill Latency,100K,Attention,0.793196
(a) Prefill Latency,200K,Non-Attention,0.117798
(a) Prefill Latency,200K,Attention,0.882202
(a) Prefill Latency,300K,Non-Attention,0.080422
(a) Prefill Latency,300K,Attention,0.919578
(a) Prefill Latency,400K,Non-Attention,0.063482
(a) Prefill Latency,400K,Attention,0.936518
(b) Decode Latency,100K,Non-Attention,0.473406
(b) Decode Latency,100K,Attention,0.526594
(b) Decode Latency,200K,Non-Attention,0.317630
(b) Decode Latency,200K,Attention,0.682370
(b) Decode Latency,300K,Non-Attention,0.242432
(b) Decode Latency,300K,Attention,0.757568
(b) Decode Latency,400K,Non-Attention,0.195382
(b) Decode Latency,400K,Attention,0.804618
