panel_title,y_label,kv_attended,method,score
Natural Questions,Accuracy,4096,WG-KV + Quest,57.3333333333333
Natural Questions,Accuracy,2048,WG-KV + Quest,57.8333333333333
Natural Questions,Accuracy,1024,WG-KV + Quest,59.1666666666667
Natural Questions,Accuracy,512,WG-KV + Quest,52.1666666666667
Natural Questions,Accuracy,4096,Quest Only,58.1666666666667
Natural Questions,Accuracy,2048,Quest Only,59.5
Natural Questions,Accuracy,1024,Quest Only,56.5
Natural Questions,Accuracy,512,Quest Only,52.5
TriviaQA,Accuracy,4096,WG-KV + Quest,90.5
TriviaQA,Accuracy,2048,WG-KV + Quest,90.6666666666667
TriviaQA,Accuracy,1024,WG-KV + Quest,90.1666666666667
TriviaQA,Accuracy,512,WG-KV + Quest,89.5
TriviaQA,Accuracy,4096,Quest Only,89.3333333333333
TriviaQA,Accuracy,2048,Quest Only,89.3333333333333
TriviaQA,Accuracy,1024,Quest Only,90
TriviaQA,Accuracy,512,Quest Only,89
PopQA,Accuracy,4096,WG-KV + Quest,59.8333333333333
PopQA,Accuracy,2048,WG-KV + Quest,59.5
PopQA,Accuracy,1024,WG-KV + Quest,59.6666666666667
PopQA,Accuracy,512,WG-KV + Quest,60.1666666666667
PopQA,Accuracy,4096,Quest Only,60
PopQA,Accuracy,2048,Quest Only,60.3333333333333
PopQA,Accuracy,1024,Quest Only,59.8333333333333
PopQA,Accuracy,512,Quest Only,60.3333333333333
HotpotQA,Accuracy,4096,WG-KV + Quest,60
HotpotQA,Accuracy,2048,WG-KV + Quest,59
HotpotQA,Accuracy,1024,WG-KV + Quest,58.6666666666667
HotpotQA,Accuracy,512,WG-KV + Quest,56
HotpotQA,Accuracy,4096,Quest Only,58.3333333333333
HotpotQA,Accuracy,2048,Quest Only,57.6666666666667
HotpotQA,Accuracy,1024,Quest Only,56.6666666666667
HotpotQA,Accuracy,512,Quest Only,51.3333333333333
NarrativeQA,GPT-4.1 Score,4096,WG-KV + Quest,1.3
NarrativeQA,GPT-4.1 Score,2048,WG-KV + Quest,1.3
NarrativeQA,GPT-4.1 Score,1024,WG-KV + Quest,1.27
NarrativeQA,GPT-4.1 Score,512,WG-KV + Quest,1.29
NarrativeQA,GPT-4.1 Score,4096,Quest Only,1.25
NarrativeQA,GPT-4.1 Score,2048,Quest Only,1.29
NarrativeQA,GPT-4.1 Score,1024,Quest Only,1.22
NarrativeQA,GPT-4.1 Score,512,Quest Only,1.33
InfiniteBench QA,F1,4096,WG-KV + Quest,35.8620867576111
InfiniteBench QA,F1,2048,WG-KV + Quest,35.8247130202373
InfiniteBench QA,F1,1024,WG-KV + Quest,36.391260482437
InfiniteBench QA,F1,512,WG-KV + Quest,34.3408997320762
InfiniteBench QA,F1,4096,Quest Only,32.8831405849053
InfiniteBench QA,F1,2048,Quest Only,32.3922314939962
InfiniteBench QA,F1,1024,Quest Only,32.1382143999791
InfiniteBench QA,F1,512,Quest Only,31.2669301286948
InfiniteBench MC,Accuracy,4096,WG-KV + Quest,46
InfiniteBench MC,Accuracy,2048,WG-KV + Quest,46
InfiniteBench MC,Accuracy,1024,WG-KV + Quest,46
InfiniteBench MC,Accuracy,512,WG-KV + Quest,46
InfiniteBench MC,Accuracy,4096,Quest Only,53
InfiniteBench MC,Accuracy,2048,Quest Only,53
InfiniteBench MC,Accuracy,1024,Quest Only,53
InfiniteBench MC,Accuracy,512,Quest Only,53
MS MACRO,NDCG@10,4096,WG-KV + Quest,35.3773089430894
MS MACRO,NDCG@10,2048,WG-KV + Quest,33.5873414634146
MS MACRO,NDCG@10,1024,WG-KV + Quest,27.5267723577236
