tokens,method,component,latency
100K,Full,Non-Attention,2.56365
100K,Full,Attention,9.83286
100K,WG-KV,Non-Attention,2.73445
100K,WG-KV,Attention,2.09629
200K,Full,Non-Attention,5.28771
200K,Full,Attention,39.60037
200K,WG-KV,Non-Attention,5.71708
200K,WG-KV,Attention,7.87624
300K,Full,Non-Attention,7.837
300K,Full,Attention,89.61125
300K,WG-KV,Non-Attention,8.42746
300K,WG-KV,Attention,17.85246
400K,Full,Non-Attention,10.81873
400K,Full,Attention,159.60371
400K,WG-KV,Non-Attention,11.59985
400K,WG-KV,Attention,32.30322
500K,Full,Non-Attention,NA
500K,Full,Attention,NA
500K,WG-KV,Non-Attention,13.98785
500K,WG-KV,Attention,51.28855
