tokens,method,component,size
100K,Full,Model Weights,15.31651
100K,Full,KV Cache,12.54417
100K,WG-KV,Model Weights,15.38102
100K,WG-KV,KV Cache,2.50998
200K,Full,Model Weights,15.31651
200K,Full,KV Cache,25.05027
200K,WG-KV,Model Weights,15.38102
200K,WG-KV,KV Cache,5.14833
300K,Full,Model Weights,15.31651
300K,Full,KV Cache,37.55637
300K,WG-KV,Model Weights,15.38102
300K,WG-KV,KV Cache,7.74082
400K,Full,Model Weights,15.31651
400K,Full,KV Cache,50.06248
400K,WG-KV,Model Weights,15.38102
400K,WG-KV,KV Cache,10.52112
500K,Full,Model Weights,NA
500K,Full,KV Cache,NA
500K,WG-KV,Model Weights,15.38102
500K,WG-KV,KV Cache,13.60077
