tokens,method,component,latency
100K,Full,Non-Attention,33.1514333333333
100K,Full,Attention,34.5334
100K,WG-KV,Non-Attention,33.5263333333333
100K,WG-KV,Attention,9.11706666666667
200K,Full,Non-Attention,33.3989
200K,Full,Attention,66.3700666666667
200K,WG-KV,Non-Attention,33.4054666666667
200K,WG-KV,Attention,16.1717
300K,Full,Non-Attention,33.5235666666667
300K,Full,Attention,97.8235333333333
300K,WG-KV,Non-Attention,34.107
300K,WG-KV,Attention,24.1780333333333
400K,Full,Non-Attention,33.4727
400K,Full,Attention,129.287333333333
400K,WG-KV,Non-Attention,34.3044666666667
400K,WG-KV,Attention,30.8414333333333
500K,Full,Non-Attention,33.3003
500K,Full,Attention,161.033466666667
500K,WG-KV,Non-Attention,33.6278666666667
500K,WG-KV,Attention,36.7592333333333
