tokens,method,component,size
100K,Full,Model Weights,7.67225
100K,Full,KV Cache,14.11219
100K,WG-KV,Model Weights,7.69948
100K,WG-KV,KV Cache,2.64363
200K,Full,Model Weights,7.67225
200K,Full,KV Cache,28.18155
200K,WG-KV,Model Weights,7.69948
200K,WG-KV,KV Cache,5.8127
300K,Full,Model Weights,7.67225
300K,Full,KV Cache,42.25092
300K,WG-KV,Model Weights,7.69948
300K,WG-KV,KV Cache,9.35561
400K,Full,Model Weights,7.67225
400K,Full,KV Cache,56.32029
400K,WG-KV,Model Weights,7.69948
400K,WG-KV,KV Cache,12.35152
500K,Full,Model Weights,7.67225
500K,Full,KV Cache,70.38965
500K,WG-KV,Model Weights,7.69948
500K,WG-KV,KV Cache,15.06227
